"block","count_main_sequence","first_trial_timestamp","fname","response_catch_response","response_time_catch_response","subject_nr","time_stimulus","time_to_pad"
"E","0","50344","vowelstep7.wav","None","1000","105","50352","0"
"E","0","50344","sinestep3.wav","None","1000","105","52353","336"
"E","0","50344","sinestep5.wav","None","1000","105","54353","343"
"E","0","50344","sinestep1.wav","None","1000","105","56353","342"
"E","0","50344","sinestep5.wav","None","1000","105","58353","354"
"E","0","50344","silence.wav","None","1000","105","60353","331"
"E","0","50344","vowelstep1.wav","None","1000","105","62353","333"
"E","0","50344","vowelstep7.wav","None","1000","105","64353","334"
"E","0","50344","vowelstep1.wav","None","1000","105","66353","334"
"E","0","50344","sinestep1_catch.wav","1","179","105","68353","344"
"E","0","50344","vowelstep5.wav","None","1000","105","70354","1164"
"E","0","50344","sinestep5.wav","None","1000","105","72353","352"
"E","0","50344","vowelstep5.wav","None","1000","105","74353","343"
"E","0","50344","vowelstep3.wav","None","1000","105","76353","351"
"E","0","50344","sinestep1.wav","None","1000","105","78353","353"
"E","0","50344","vowelstep5.wav","None","1000","105","80353","344"
"E","0","50344","silence.wav","None","1000","105","82353","343"
"E","0","50344","silence.wav","None","1000","105","84353","344"
"E","0","50344","sinestep3.wav","None","1000","105","86353","353"
"E","0","50344","sinestep3.wav","None","1000","105","88354","352"
"E","0","50344","sinestep3.wav","None","1000","105","90354","352"
"E","0","50344","sinestep1.wav","None","1000","105","92354","348"
"E","0","50344","vowelstep1.wav","None","1000","105","94354","342"
"E","0","50344","sinestep1.wav","None","1000","105","96353","325"
"E","0","50344","vowelstep7.wav","None","1000","105","98353","342"
"E","0","50344","vowelstep5.wav","None","1000","105","100353","337"
"E","0","50344","sinestep7.wav","None","1000","105","102353","352"
"E","0","50344","sinestep1.wav","None","1000","105","104353","351"
"E","0","50344","vowelstep5.wav","None","1000","105","106354","350"
"E","0","50344","sinestep3.wav","None","1000","105","108354","338"
"E","0","50344","vowelstep1.wav","None","1000","105","110354","341"
"E","0","50344","vowelstep5.wav","None","1000","105","112354","340"
"E","0","50344","vowelstep3.wav","None","1000","105","114354","351"
"E","0","50344","sinestep1.wav","None","1000","105","116354","350"
"E","0","50344","vowelstep3.wav","None","1000","105","118354","350"
"E","0","50344","silence.wav","None","1000","105","120353","345"
"E","0","50344","vowelstep3.wav","None","1000","105","122354","339"
"E","0","50344","sinestep3_catch.wav","1","133","105","124354","339"
"E","0","50344","sinestep3.wav","None","1000","105","126354","1205"
"E","0","50344","vowelstep3.wav","None","1000","105","128354","340"
"E","0","50344","vowelstep7.wav","None","1000","105","130354","350"
"E","0","50344","silence.wav","None","1000","105","132354","349"
"E","0","50344","sinestep3.wav","None","1000","105","134354","349"
"E","0","50344","silence.wav","None","1000","105","136354","331"
"E","0","50344","sinestep1.wav","None","1000","105","138354","339"
"E","0","50344","sinestep5_catch.wav","1","266","105","140355","340"
"E","0","50344","vowelstep3.wav","None","1000","105","142355","1071"
"E","0","50344","sinestep5.wav","None","1000","105","144355","349"
"E","0","50344","vowelstep7.wav","None","1000","105","146354","349"
"E","0","50344","sinestep1.wav","None","1000","105","148354","349"
"E","0","50344","sinestep5.wav","None","1000","105","150354","328"
"E","0","50344","sinestep5.wav","None","1000","105","152354","338"
"E","0","50344","vowelstep7.wav","None","1000","105","154354","338"
"E","0","50344","vowelstep3.wav","None","1000","105","156354","336"
"E","0","50344","vowelstep7.wav","None","1000","105","158355","348"
"E","0","50344","sinestep5.wav","None","1000","105","160355","348"
"E","0","50344","vowelstep3.wav","None","1000","105","162355","347"
"E","0","50344","vowelstep7.wav","None","1000","105","164355","357"
"E","0","50344","sinestep3.wav","None","1000","105","166355","335"
"E","0","50344","vowelstep7.wav","None","1000","105","168354","337"
"E","0","50344","silence.wav","None","1000","105","170354","334"
"E","0","50344","silence.wav","None","1000","105","172354","348"
"E","0","50344","sinestep7.wav","None","1000","105","174354","347"
"E","0","50344","sinestep7_catch.wav","None","1000","105","176355","347"
"E","0","50344","sinestep7.wav","None","1000","105","178355","357"
"E","0","50344","silence.wav","None","1000","105","180355","322"
"E","0","50344","sinestep7_catch.wav","1","165","105","182355","337"
"E","0","50344","sinestep7.wav","None","1000","105","184355","1170"
"E","0","50344","sinestep5_catch.wav","1","10","105","186355","347"
"E","0","50344","sinestep1.wav","None","1000","105","188355","1334"
"E","0","50344","sinestep1.wav","None","1000","105","190355","346"
"E","0","50344","sinestep1.wav","None","1000","105","192356","314"
"E","0","50344","sinestep3.wav","None","1000","105","194355","331"
"E","0","50344","vowelstep5.wav","None","1000","105","196355","336"
"E","0","50344","silence.wav","None","1000","105","198355","336"
"E","0","50344","sinestep3_catch.wav","1","308","105","200355","345"
"E","0","50344","silence.wav","None","1000","105","202355","1037"
"E","0","50344","sinestep7.wav","None","1000","105","204355","346"
"E","0","50344","sinestep5.wav","None","1000","105","206355","356"
"E","0","50344","silence.wav","None","1000","105","208355","334"
"E","0","50344","vowelstep5.wav","None","1000","105","210356","335"
"E","0","50344","vowelstep1.wav","None","1000","105","212356","335"
"E","0","50344","vowelstep3.wav","None","1000","105","214356","345"
"E","0","50344","sinestep5.wav","None","1000","105","216356","345"
"E","0","50344","sinestep7.wav","None","1000","105","218355","344"
"E","0","50344","vowelstep1.wav","None","1000","105","220355","343"
"E","0","50344","vowelstep7.wav","None","1000","105","222355","334"
"E","0","50344","sinestep3.wav","None","1000","105","224355","334"
"E","0","50344","silence.wav","None","1000","105","226355","334"
"E","0","50344","sinestep1_catch.wav","1","319","105","228356","333"
"E","0","50344","sinestep7.wav","None","1000","105","230356","1023"
"E","0","50344","vowelstep1.wav","None","1000","105","232356","344"
"E","0","50344","sinestep5.wav","None","1000","105","234356","343"
"E","0","50344","sinestep5.wav","None","1000","105","236356","353"
"E","0","50344","vowelstep1.wav","None","1000","105","238356","334"
"E","0","50344","sinestep7.wav","None","1000","105","240356","330"
"E","0","50344","sinestep3.wav","None","1000","105","242355","333"
"E","0","50344","sinestep7.wav","None","1000","105","244356","344"
"E","0","50344","silence.wav","None","1000","105","246356","342"
"E","0","50344","vowelstep1.wav","None","1000","105","248356","352"
"E","0","50344","sinestep1.wav","None","1000","105","250356","323"
"E","0","50344","vowelstep1.wav","None","1000","105","252356","331"
"E","0","50344","vowelstep1.wav","None","1000","105","254356","330"
"E","0","50344","vowelstep1_catch.wav","1","166","105","256356","332"
"E","0","50344","vowelstep1.wav","None","1000","105","258356","1177"
"E","0","50344","vowelstep1.wav","None","1000","105","260356","342"
"E","0","50344","silence.wav","None","1000","105","262357","341"
"E","0","50344","sinestep7.wav","None","1000","105","264357","351"
"E","0","50344","vowelstep7.wav","None","1000","105","266356","331"
"E","0","50344","vowelstep3_catch.wav","1","198","105","268356","332"
"E","0","50344","vowelstep5.wav","None","1000","105","270356","1131"
"E","0","50344","sinestep3.wav","None","1000","105","272356","342"
"E","0","50344","silence.wav","None","1000","105","274356","342"
"E","0","50344","sinestep1.wav","None","1000","105","276356","342"
"E","0","50344","sinestep5.wav","None","1000","105","278356","322"
"E","0","50344","sinestep5.wav","None","1000","105","280357","331"
"E","0","50344","sinestep3.wav","None","1000","105","282357","329"
"E","0","50344","sinestep5.wav","None","1000","105","284357","329"
"E","0","50344","vowelstep3.wav","None","1000","105","286357","340"
"E","0","50344","sinestep7.wav","None","1000","105","288357","341"
"E","0","50344","sinestep7.wav","None","1000","105","290356","340"
"E","0","50344","silence.wav","None","1000","105","292356","350"
"E","0","50344","sinestep3.wav","None","1000","105","294356","329"
"E","0","50344","sinestep3.wav","None","1000","105","296356","330"
"E","0","50344","vowelstep3.wav","None","1000","105","298357","329"
"E","0","50344","silence.wav","None","1000","105","300357","339"
"E","0","50344","sinestep7.wav","None","1000","105","302357","339"
"E","0","50344","silence.wav","None","1000","105","304357","340"
"E","0","50344","vowelstep7.wav","None","1000","105","306357","350"
"E","0","50344","vowelstep3.wav","None","1000","105","308357","350"
"E","0","50344","silence.wav","None","1000","105","310357","330"
"E","0","50344","vowelstep3.wav","None","1000","105","312357","329"
"E","0","50344","vowelstep1.wav","None","1000","105","314357","339"
"E","0","50344","vowelstep5.wav","None","1000","105","316357","337"
"E","0","50344","silence.wav","None","1000","105","318357","338"
"E","0","50344","vowelstep3.wav","None","1000","105","320357","310"
"E","0","50344","sinestep1.wav","None","1000","105","322357","349"
"E","0","50344","vowelstep5_catch.wav","1","311","105","324357","349"
"E","0","50344","sinestep7.wav","None","1000","105","326357","1037"
"E","0","50344","sinestep7.wav","None","1000","105","328357","339"
"E","0","50344","vowelstep7.wav","None","1000","105","330357","338"
"E","0","50344","silence.wav","None","1000","105","332358","338"
"E","0","50344","sinestep5.wav","None","1000","105","334358","320"
"E","0","50344","silence.wav","None","1000","105","336358","347"
"E","0","50344","silence.wav","None","1000","105","338357","347"
"E","0","50344","vowelstep5.wav","None","1000","105","340357","358"
"E","0","50344","vowelstep5.wav","None","1000","105","342357","339"
"E","0","50344","silence.wav","None","1000","105","344357","337"
"E","0","50344","vowelstep5.wav","None","1000","105","346357","337"
"E","0","50344","vowelstep7_catch.wav","1","202","105","348357","334"
"E","0","50344","vowelstep7_catch.wav","1","151","105","350358","1145"
"E","0","50344","vowelstep5.wav","None","1000","105","352358","1195"
"E","0","50344","sinestep1.wav","None","1000","105","354358","344"
"E","0","50344","vowelstep3.wav","None","1000","105","356358","317"
"E","0","50344","vowelstep5_catch.wav","1","165","105","358358","335"
"E","0","50344","vowelstep7.wav","None","1000","105","360358","1171"
"E","0","50344","vowelstep5.wav","None","1000","105","362357","336"
"E","0","50344","vowelstep7.wav","None","1000","105","364357","346"
"E","0","50344","vowelstep1.wav","None","1000","105","366357","319"
"E","0","50344","vowelstep3_catch.wav","1","192","105","368358","355"
